COUNTRY_CODE,SUBNATIONAL1_CODE,SUBNATIONAL2_CODE,SUBNATIONAL2_NAME
CA,CA-AB,CA-AB-EI,Red Deer
CA,CA-AB,CA-AB-EL,Edmonton
CA,CA-AB,CA-AB-ET,Grande Cache
CA,CA-AB,CA-AB-FI,Drumheller
CA,CA-AB,CA-AB-FN,Banff
CA,CA-AB,CA-AB-FO,Hanna
CA,CA-AB,CA-AB-FT,Edson
CA,CA-AB,CA-AB-NI,Rocky Mountain House
CA,CA-AB,CA-AB-NT,Grande Prairie
CA,CA-AB,CA-AB-ON,Medicine Hat
CA,CA-AB,CA-AB-SE,Stettler
CA,CA-AB,CA-AB-SI,Calgary
CA,CA-AB,CA-AB-SN,Slave Lake
CA,CA-AB,CA-AB-ST,Fort McMurray
CA,CA-AB,CA-AB-TE,Camrose-Lloydminister
CA,CA-AB,CA-AB-TN,Athabasca
CA,CA-AB,CA-AB-TR,Fort MacLeod
CA,CA-AB,CA-AB-TV,St. Paul
CA,CA-AB,CA-AB-TW,Lethbridge
CA,CA-BC,CA-BC-AC,Alberni-Clayoquot
CA,CA-BC,CA-BC-BN,Bulkley-Nechako
CA,CA-BC,CA-BC-CC,Central Coast
CA,CA-BC,CA-BC-CK,Central Kootenay
CA,CA-BC,CA-BC-CO,Central Okanagan
CA,CA-BC,CA-BC-CP,Capital
CA,CA-BC,CA-BC-CR,Cariboo
CA,CA-BC,CA-BC-CS,Columbia-Shuswap
CA,CA-BC,CA-BC-CV,Cowichan Valley
CA,CA-BC,CA-BC-CX,Comox-Strathcona
CA,CA-BC,CA-BC-EK,East Kootenay
CA,CA-BC,CA-BC-FF,Fraser-Fort George
CA,CA-BC,CA-BC-FV,Fraser Valley
CA,CA-BC,CA-BC-GV,Metro Vancouver
CA,CA-BC,CA-BC-KB,Kootenay Boundary
CA,CA-BC,CA-BC-KS,Kitimat-Stikine
CA,CA-BC,CA-BC-MW,Mount Waddington
CA,CA-BC,CA-BC-NA,Nanaimo
CA,CA-BC,CA-BC-NO,North Okanagan
CA,CA-BC,CA-BC-NR,Northern Rockies
CA,CA-BC,CA-BC-OS,Okanagan-Similkameen
CA,CA-BC,CA-BC-PC,Peace River
CA,CA-BC,CA-BC-PW,Powell River
CA,CA-BC,CA-BC-SC,Sunshine Coast
CA,CA-BC,CA-BC-SL,Squamish-Lillooet
CA,CA-BC,CA-BC-SQ,Skeena-Queen Charlotte
CA,CA-BC,CA-BC-ST,Stikine
CA,CA-BC,CA-BC-TN,Thompson-Nicola
CA,CA-MB,CA-MB-EE,Churchill and Northern Manitoba
CA,CA-MB,CA-MB-EI,Central Manitoba - Central Plains
CA,CA-MB,CA-MB-EL,Winnipeg
CA,CA-MB,CA-MB-ET,North Interlake Area
CA,CA-MB,CA-MB-FI,South West Westman
CA,CA-MB,CA-MB-FN,Western Manitoba Westman
CA,CA-MB,CA-MB-FO,Pilot Mound Area
CA,CA-MB,CA-MB-FT,South Interlake
CA,CA-MB,CA-MB-NI,Portage la Prairie Area
CA,CA-MB,CA-MB-NT,North East Northern Region
CA,CA-MB,CA-MB-ON,Eastern Manitoba - Eastman
CA,CA-MB,CA-MB-SE,Brandon Area
CA,CA-MB,CA-MB-SI,Virden Area
CA,CA-MB,CA-MB-SN,Dauphin
CA,CA-MB,CA-MB-ST,Roblin - Russell - Rossburn Area
CA,CA-MB,CA-MB-TE,Whitehorse Plains
CA,CA-MB,CA-MB-TN,Selkirk Area
CA,CA-MB,CA-MB-TO,Flin Flon and North West
CA,CA-MB,CA-MB-TR,Pembina Valley
CA,CA-MB,CA-MB-TT,Swan River
CA,CA-MB,CA-MB-TV,Beausejour Area
CA,CA-MB,CA-MB-TW,Steinbach Area
CA,CA-MB,CA-MB-TY,Thompson and North Central
CA,CA-NB,CA-NB-AL,Albert
CA,CA-NB,CA-NB-CA,Carleton
CA,CA-NB,CA-NB-CH,Charlotte
CA,CA-NB,CA-NB-GL,Gloucester
CA,CA-NB,CA-NB-KE,Kent
CA,CA-NB,CA-NB-KI,Kings
CA,CA-NB,CA-NB-MA,Madawaska
CA,CA-NB,CA-NB-NO,Northumberland
CA,CA-NB,CA-NB-QU,Queens
CA,CA-NB,CA-NB-RE,Restigouche
CA,CA-NB,CA-NB-SJ,Saint John
CA,CA-NB,CA-NB-SU,Sunbury
CA,CA-NB,CA-NB-VI,Victoria
CA,CA-NB,CA-NB-WE,Westmorland
CA,CA-NB,CA-NB-YO,York
CA,CA-NL,CA-NL-EI,Notre Dame Bay-Lewisporte
CA,CA-NL,CA-NL-EL,Nunatsiavut-Nain
CA,CA-NL,CA-NL-FI,Humber District-Corner Brook
CA,CA-NL,CA-NL-FO,St. George's-Stephenville
CA,CA-NL,CA-NL-NI,Northern Peninsula-St. Anthony
CA,CA-NL,CA-NL-ON,Avalon Peninsula-St. John's
CA,CA-NL,CA-NL-SE,Bonavista/Trinity-Clarenville
CA,CA-NL,CA-NL-SI,Central Newfoundland-Grand Falls-Windsor
CA,CA-NL,CA-NL-TE,Labrador-Happy Valley-Goose Bay
